pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
7824,5,0,1993,RAM VIR SINGH BIDHURI,Delhi,BADARPUR,JD,,22102,M,1,2,1,FALSE,FALSE,41.61,7066,13.3,,1,2
7824,6,0,1998,RAMVIR SINGH BIDHURI,Delhi,BADARPUR,INC,JD,26259,M,2,2,1,TRUE,TRUE,29.46,17401,19.52,,1,2
7913,5,0,1993,RAJENDRA GUPTA,Delhi,MALVIYA NAGAR,BJP,,19319,M,1,2,1,FALSE,FALSE,42.99,258,0.57,,1,2
7913,6,0,1998,RAJENDRA GUPTA,Delhi,MALVIYA NAGAR,BJP,BJP,22946,M,2,2,1,FALSE,TRUE,40.97,21540,38.46,,1,2
AEDL100582,6,0,1998,SHISH PAL SINGH,Delhi,TUGLAKABAD,INC,,39551,M,1,1,1,FALSE,FALSE,49.59,8879,11.13,,1,1
AEDL103339,6,0,1998,SH. RAM BHAJ,Delhi,SAROJINI NAGAR,BJP,,21318,M,1,1,1,FALSE,FALSE,49.8,1528,3.57,,1,1
AEDL103340,6,0,1998,MUKESH BHATT,Delhi,SAROJINI NAGAR,INC,,19790,M,2,1,0,FALSE,FALSE,46.23,19049,44.5,,,1
AEDL103358,6,0,1998,ARUN JAIN ENGINEER,Delhi,MINTO ROAD,BJP,,14050,M,2,1,0,FALSE,FALSE,26.2,6394,11.92,,,1
AEDL103361,6,0,1998,ANFAL NIZAM,Delhi,MINTO ROAD,JD,,475,M,5,1,0,FALSE,FALSE,0.89,7,0.01,,,1
AEDL103368,6,0,1998,SUSHIL CHOUDHARY,Delhi,KASTURBA NAGAR,BJP,,20146,M,1,1,1,FALSE,FALSE,42.04,899,1.88,,1,1
AEDL103369,6,0,1998,RAM RATTAN GUPTA,Delhi,KASTURBA NAGAR,INC,,19247,M,2,1,0,FALSE,FALSE,40.16,12422,25.92,,,1
AEDL103371,6,0,1998,RAM KARAN GUPTA,Delhi,KASTURBA NAGAR,JD,,922,M,4,1,0,FALSE,FALSE,1.92,436,0.91,,,1
AEDL103375,6,0,1998,BIR BAHADUR,Delhi,JANGPURA,BJP,,16465,M,2,1,0,FALSE,FALSE,29.86,7860,14.25,,,1
AEDL103378,6,0,1998,INDER JIT SINGH SETHI,Delhi,JANGPURA,JD,,419,M,5,1,0,FALSE,FALSE,0.76,65,0.12,,,1
AEDL103383,6,0,1998,PARVEZ HASHMI,Delhi,OKHLA,INC,,32774,M,1,1,1,FALSE,FALSE,57.83,18161,32.04,,1,1
AEDL103384,6,0,1998,KRISHAN KUMAR MEHTA,Delhi,OKHLA,BJP,,14613,M,2,1,0,FALSE,FALSE,25.78,8920,15.74,,,1
AEDL103388,6,0,1998,ASHRAF KHAN,Delhi,OKHLA,JD,,534,M,6,1,0,FALSE,FALSE,0.94,44,0.08,,,1
AEDL103399,6,0,1998,JASVINDER SINGH,Delhi,KALKAJI,JD,,203,M,4,1,0,FALSE,FALSE,0.36,104,0.19,,,1
AEDL103407,6,0,1998,MOHD. FEROZ KHAN,Delhi,MALVIYA NAGAR,JD,,308,M,4,1,0,FALSE,FALSE,0.55,61,0.11,,,1
AEDL103413,6,0,1998,PROFESSOR KIRAN WALIA,Delhi,HAUZ KHAS,INC,,22652,F,2,1,0,FALSE,FALSE,44.19,21351,41.65,,,1
AEDL103419,6,0,1998,SITA RAM BHARDWAJ,Delhi,HAUZ KHAS,JD,,229,M,8,1,0,FALSE,FALSE,0.45,0,0,,,1
AEDL103420,6,0,1998,ASHOK SINGH,Delhi,R.K.PURAM,INC,,20509,M,1,1,1,FALSE,FALSE,45.97,3357,7.52,,1,1
AEDL103437,6,0,1998,SHIV KUMAR SONDHI,Delhi,JANAK PURI,INC,,23415,M,2,1,0,FALSE,FALSE,42.04,22665,40.69,,,1
AEDL103443,6,0,1998,O.P.WADHWA,Delhi,HARI NAGAR,INC,,28519,M,2,1,0,FALSE,FALSE,48.74,28186,48.17,,,1
AEDL103445,6,0,1998,AFROZ KHAN,Delhi,HARI NAGAR,JD,,242,M,4,1,0,FALSE,FALSE,0.41,113,0.19,,,1
AEDL103454,6,0,1998,VINOD KUMAR,Delhi,TILAK NAGAR,JD,,286,M,6,1,0,FALSE,FALSE,0.52,1,0,,,1
AEDL103465,6,0,1998,SASHI PRABHA ARYA,Delhi,RAJOURI GARDEN,BJP,,16763,F,2,1,0,FALSE,FALSE,30.55,15669,28.56,,,1
AEDL103492,6,0,1998,RAVINDER NATH,Delhi,SHALIMAR BAGH,BJP,,32623,M,1,1,1,FALSE,FALSE,57.37,10005,17.59,,1,1
AEDL103493,6,0,1998,SARLA KAUSHIK,Delhi,SHALIMAR BAGH,INC,,22618,F,2,1,0,FALSE,FALSE,39.77,21962,38.62,,,1
AEDL103500,6,0,1998,JAI BHAGWAN AGGARWAL,Delhi,BADLI,BJP,,42259,M,1,1,1,FALSE,FALSE,47.95,4437,5.03,,1,1
AEDL103501,6,0,1998,NARAIN SINGH YADAV,Delhi,BADLI,INC,,37822,M,2,1,0,FALSE,FALSE,42.91,34014,38.59,,,1
AEDL103512,6,0,1998,RAMESH KUMAR,Delhi,SAHIBABAD DAULATPUR,INC,,35328,M,1,1,1,FALSE,FALSE,44.54,9799,12.35,,1,1
AEDL103513,6,0,1998,KULWANT RANA,Delhi,SAHIBABAD DAULATPUR,BJP,,25529,M,2,1,0,FALSE,FALSE,32.18,17909,22.58,,,1
AEDL103518,6,0,1998,SATISH YADAV,Delhi,SAHIBABAD DAULATPUR,JD,,1289,M,7,1,0,FALSE,FALSE,1.63,102,0.13,,,1
AEDL103530,6,0,1998,SURENDER KUMAR,Delhi,BAWANA,INC,,40241,M,1,1,1,FALSE,FALSE,59.18,25698,37.79,,1,1
AEDL103531,6,0,1998,OM PARKASH RANG,Delhi,BAWANA,IND,,14543,M,2,1,0,FALSE,FALSE,21.39,5955,8.76,,,1
AEDL103539,6,0,1998,SUSHILA DEVI,Delhi,SULTANPUR MAJRA,INC,,34194,F,1,1,1,FALSE,FALSE,56.79,16933,28.12,,1,1
AEDL103540,6,0,1998,KAILASH,Delhi,SULTANPUR MAJRA,BJP,,17261,M,2,1,0,FALSE,FALSE,28.67,14176,23.55,,,1
AEDL103543,6,0,1998,RANBIR SINGH,Delhi,SULTANPUR MAJRA,JD,,1695,M,5,1,0,FALSE,FALSE,2.82,1279,2.12,,,1
AEDL103550,6,0,1998,LAKSHMI NARAYAN,Delhi,MANGOLPURI,BJP,,11358,M,2,1,0,FALSE,FALSE,21.33,4651,8.74,,,1
AEDL103558,6,0,1998,PREM CHAND,Delhi,NANGLOI JAT,INC,,30533,M,1,1,1,FALSE,FALSE,49,2827,4.54,,1,1
AEDL103562,6,0,1998,JAI PARKASH,Delhi,NANGLOI JAT,JD,,560,M,5,1,0,FALSE,FALSE,0.9,153,0.25,,,1
AEDL103573,6,0,1998,DHANWANT SINGH,Delhi,VISHNU GARDEN,BJP,,9763,M,3,1,0,FALSE,FALSE,18.26,7874,14.73,,,1
AEDL103587,6,0,1998,NARESH TYAGI,Delhi,HASTSAL,BJP,,24858,M,2,1,0,FALSE,FALSE,27.26,10852,11.9,,,1
AEDL103592,6,0,1998,R.A.YADAV,Delhi,HASTSAL,JD,,170,M,7,1,0,FALSE,FALSE,0.19,16,0.02,,,1
AEDL103600,6,0,1998,KANWAL SINGH,Delhi,NAJAFGARH,INC,,21111,M,1,1,1,FALSE,FALSE,28.02,1827,2.43,,1,1
AEDL103601,6,0,1998,JAI KISHAN SHARMA,Delhi,NAJAFGARH,IND,,19284,M,2,1,0,FALSE,FALSE,25.6,3902,5.18,,,1
AEDL103607,6,0,1998,VIJAY PAL,Delhi,NAJAFGARH,JD,,875,M,8,1,0,FALSE,FALSE,1.16,410,0.54,,,1
AEDL103661,6,0,1998,MAHENDER YADAV,Delhi,PALAM,INC,,32699,M,1,1,1,FALSE,FALSE,48.62,5547,8.25,,1,1
AEDL103667,6,0,1998,SHIVAN BANSAL,Delhi,PALAM,JD,,473,M,7,1,0,FALSE,FALSE,0.7,347,0.52,,,1
AEDL103670,6,0,1998,MAHENDER SINGH,Delhi,MAHIPALPUR,INC,,31818,M,1,1,1,FALSE,FALSE,51.92,16834,27.47,,1,1
AEDL103671,6,0,1998,SURAT SINGH,Delhi,MAHIPALPUR,INLD,,14984,M,2,1,0,FALSE,FALSE,24.45,6708,10.95,,,1
AEDL103675,6,0,1998,JAWAR SINGH,Delhi,MAHIPALPUR,JD,,428,M,6,1,0,FALSE,FALSE,0.7,244,0.4,,,1
AEDL103681,6,0,1998,BALRAM TANWAR,Delhi,MEHRAULI,IND,,22389,M,2,1,0,FALSE,FALSE,33.53,4962,7.43,,,1
AEDL103682,6,0,1998,VIJAY DEEP,Delhi,MEHRAULI,INC,,17427,M,3,1,0,FALSE,FALSE,26.1,16947,25.38,,,1
AEDL103684,6,0,1998,RANJEET,Delhi,MEHRAULI,JD,,385,M,5,1,0,FALSE,FALSE,0.58,61,0.09,,,1
