pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEHR1,1,0,1967,L. SINGH,Haryana,KALKA,IND,,12787,M,1,1,1,FALSE,FALSE,32.39,701,1.78,,1,1
AEHR100211,1,1,1967,H.LAL,Haryana,BAHADURGARH,IND,,29172,M,1,1,1,FALSE,FALSE,64.07,13771,30.24,,1,1
AEHR100212,1,1,1967,HARI SINGH,Haryana,BAHADURGARH,INC,,15401,M,2,1,0,FALSE,FALSE,33.82,14439,31.71,,,1
AEHR101,1,0,1967,B. RAM,Haryana,NAULTHA,RPI,,1391,M,7,1,0,FALSE,FALSE,3.91,493,1.38,,,1
AEHR104,1,0,1967,R. SINGH,Haryana,RAJAUND,INC,,16992,M,1,1,1,FALSE,FALSE,41.81,6060,14.91,,1,1
AEHR105,1,0,1967,B. SINGH,Haryana,RAJAUND,SWA,,10932,M,2,1,0,FALSE,FALSE,26.9,3100,7.63,,,1
AEHR111,1,0,1967,R. P. SINGH,Haryana,PUNDRI,INC,,20143,M,1,1,1,FALSE,FALSE,49.04,6473,15.76,,1,1
AEHR112,1,0,1967,I. SINGH,Haryana,PUNDRI,IND,,13670,M,2,1,0,FALSE,FALSE,33.28,8348,20.32,,,1
AEHR115,1,0,1967,P. A. J. SINGH,Haryana,SHERHADA,IND,,12080,M,1,1,1,FALSE,FALSE,29.86,439,1.09,,1,1
AEHR116,1,0,1967,S. SINGH,Haryana,SHERHADA,INC,,11641,M,2,1,0,FALSE,FALSE,28.78,5377,13.29,,,1
AEHR118,1,0,1967,D. SINGH,Haryana,SHERHADA,SWA,,6026,M,4,1,0,FALSE,FALSE,14.9,2574,6.36,,,1
AEHR12,1,0,1967,R. PARKASH,Haryana,CHHACHROLI,INC,,15525,M,1,1,1,FALSE,FALSE,42.48,920,2.52,,1,1
AEHR121,1,0,1967,O. PRABHA,Haryana,KAITHAL,INC,,21933,F,1,1,1,FALSE,FALSE,51.56,1918,4.51,,1,1
AEHR122,1,0,1967,A. CHAND,Haryana,KAITHAL,SWA,,20015,M,2,1,0,FALSE,FALSE,47.05,19425,45.67,,,1
AEHR124,1,0,1967,C. LAL,Haryana,PEHOWA,SWA,,13010,M,1,1,1,FALSE,FALSE,34.47,1893,5.02,,1,1
AEHR125,1,0,1967,M. SINGH,Haryana,PEHOWA,INC,,11117,M,2,1,0,FALSE,FALSE,29.45,3726,9.87,,,1
AEHR13,1,0,1967,P. CHAND,Haryana,CHHACHROLI,IND,,14605,M,2,1,0,FALSE,FALSE,39.97,11293,30.9,,,1
AEHR130,1,0,1967,MARU,Haryana,KALYAT,SWA,,15910,M,1,1,1,FALSE,FALSE,42.13,358,0.95,,1,1
AEHR131,1,0,1967,B. RAM,Haryana,KALYAT,INC,,15552,M,2,1,0,FALSE,FALSE,41.18,11810,31.27,,,1
AEHR139,1,0,1967,S. SINGH,Haryana,NARWANA,RPI,,21130,M,1,1,1,FALSE,FALSE,49.67,1519,3.57,,1,1
AEHR140,1,0,1967,K. RAM,Haryana,NARWANA,INC,,19611,M,2,1,0,FALSE,FALSE,46.1,17814,41.88,,,1
AEHR142,1,0,1967,D. KISHAN,Haryana,JIND,INC,,26089,M,1,1,1,FALSE,FALSE,59.26,10541,23.95,,1,1
AEHR143,1,0,1967,I. SINGH,Haryana,JIND,IND,,15548,M,2,1,0,FALSE,FALSE,35.32,14226,32.32,,,1
AEHR147,1,0,1967,D. SINGH,Haryana,JULANA,INC,,21534,M,1,1,1,FALSE,FALSE,56.24,9323,24.35,,1,1
AEHR148,1,0,1967,G. RAM,Haryana,JULANA,BJS,,12211,M,2,1,0,FALSE,FALSE,31.89,8526,22.27,,,1
AEHR15,1,0,1967,4. KISHORE,Haryana,CHHACHROLI,BJS,,3101,M,4,1,0,FALSE,FALSE,8.49,0,0,,,1
AEHR151,1,0,1967,S. KRISHAN,Haryana,SAFIDON,INC,,17692,M,1,1,1,FALSE,FALSE,48.67,5971,16.43,,1,1
AEHR152,1,0,1967,S. NARAIN,Haryana,SAFIDON,IND,,11721,M,2,1,0,FALSE,FALSE,32.24,9723,26.75,,,1
AEHR153,1,0,1967,S. BHAN,Haryana,SAFIDON,BJS,,1998,M,3,1,0,FALSE,FALSE,5.5,81,0.22,,,1
AEHR158,1,0,1967,M. SINGH,Haryana,MEHAM,IND,,18875,M,1,1,1,FALSE,FALSE,48.92,5514,14.29,,1,1
AEHR159,1,0,1967,B. PRASAD,Haryana,MEHAM,INC,,13361,M,2,1,0,FALSE,FALSE,34.63,10597,27.47,,,1
AEHR16,1,0,1967,D. PRAKASH,Haryana,JAGADHRI,BJS,,14665,M,1,1,1,FALSE,FALSE,41.12,1809,5.07,,1,1
AEHR160,1,0,1967,I. SINGH,Haryana,MEHAM,BJS,,2764,M,3,1,0,FALSE,FALSE,7.16,449,1.16,,,1
AEHR163,1,0,1967,HARDEVA,Haryana,MEHAM,RPI,,347,M,6,1,0,FALSE,FALSE,0.9,0,0,,,1
AEHR164,1,0,1967,R. DHARI,Haryana,BARODA,INC,,13164,M,1,1,1,FALSE,FALSE,36.24,1527,4.2,,1,1
AEHR167,1,0,1967,D. SINGH,Haryana,BARODA,BJS,,11637,M,2,1,0,FALSE,FALSE,32.04,9469,26.07,,,1
AEHR17,1,0,1967,G. SINGH,Haryana,JAGADHRI,INC,,12856,M,2,1,0,FALSE,FALSE,36.05,9114,25.56,,,1
AEHR170,1,0,1967,HARSHAN,Haryana,BARODA,RPI,,1700,M,5,1,0,FALSE,FALSE,4.68,63,0.17,,,1
AEHR175,1,0,1967,R. DHARI,Haryana,GOHANA,INC,,19898,M,1,1,1,FALSE,FALSE,51.3,7997,20.62,,1,1
AEHR176,1,0,1967,H. KISHAN,Haryana,GOHANA,IND,,11901,M,2,1,0,FALSE,FALSE,30.68,6018,15.52,,,1
AEHR177,1,0,1967,F. SINGH,Haryana,GOHANA,BJS,,5883,M,3,1,0,FALSE,FALSE,15.17,5513,14.21,,,1
AEHR18,1,0,1967,R. A. SINGH,Haryana,JAGADHRI,SWA,,3742,M,3,1,0,FALSE,FALSE,10.49,1002,2.81,,,1
AEHR183,1,0,1967,R. SINGH,Haryana,KAILANA,INC,,18847,M,1,1,1,FALSE,FALSE,48.58,1411,3.64,,1,1
AEHR184,1,0,1967,C. LAL,Haryana,KAILANA,IND,,17436,M,2,1,0,FALSE,FALSE,44.94,16310,42.04,,,1
AEHR189,1,0,1967,M. LAL,Haryana,SONEPAT,INC,,17930,M,1,1,1,FALSE,FALSE,45.72,895,2.28,,1,1
AEHR190,1,0,1967,M. SINGH,Haryana,SONEPAT,BJS,,17035,M,2,1,0,FALSE,FALSE,43.44,13978,35.65,,,1
AEHR192,1,0,1967,M. LAL,Haryana,SONEPAT,RPI,,1191,M,4,1,0,FALSE,FALSE,3.04,0,0,,,1
AEHR193,1,0,1967,R. RAM,Haryana,RAI,INC,,20115,M,1,1,1,FALSE,FALSE,53.54,3909,10.41,,1,1
AEHR194,1,0,1967,BANWARI,Haryana,RAI,IND,,16206,M,2,1,0,FALSE,FALSE,43.14,15421,41.05,,,1
AEHR197,1,0,1967,B. SINGH,Haryana,ROHAT,IND,,13001,M,1,1,1,FALSE,FALSE,41.85,1781,5.73,,1,1
AEHR2,1,0,1967,K. LAL,Haryana,KALKA,INC,,12086,M,2,1,0,FALSE,FALSE,30.62,3578,9.06,,,1
AEHR201,1,0,1967,S. RAM,Haryana,ROHAT,INC,,11220,M,2,1,0,FALSE,FALSE,36.11,7324,23.57,,,1
AEHR204,1,0,1967,R. S. S. RAM,Haryana,ROHAT,BJS,,618,M,5,1,0,FALSE,FALSE,1.99,319,1.03,,,1
AEHR209,1,0,1967,S. CHAND,Haryana,HASSANGARH,INC,,11167,M,1,1,1,FALSE,FALSE,31.4,2109,5.93,,1,1
AEHR210,1,0,1967,H. SINGH,Haryana,HASSANGARH,IND,,9058,M,2,1,0,FALSE,FALSE,25.47,1017,2.86,,,1
AEHR215,1,0,1967,S. NATH,Haryana,KILOI,IND,,21079,M,1,1,1,FALSE,FALSE,53.78,8673,22.13,,1,1
AEHR216,1,0,1967,R. SINGH,Haryana,KILOI,INC,,12406,M,2,1,0,FALSE,FALSE,31.65,7635,19.48,,,1
AEHR217,1,0,1967,R. BHAJ,Haryana,KILOI,BJS,,4771,M,3,1,0,FALSE,FALSE,12.17,4138,10.56,,,1
AEHR218,1,0,1967,M. RAM,Haryana,KILOI,RPI,,633,M,4,1,0,FALSE,FALSE,1.62,414,1.06,,,1
AEHR221,1,0,1967,M. SEIN,Haryana,ROHTAK,BJS,,23672,M,1,1,1,FALSE,FALSE,55.39,5114,11.97,,1,1
AEHR222,1,0,1967,T. CHAND,Haryana,ROHTAK,INC,,18558,M,2,1,0,FALSE,FALSE,43.43,18326,42.88,,,1
AEHR227,1,0,1967,N. SINGH,Haryana,KALANAUR,BJS,,18103,M,1,1,1,FALSE,FALSE,51.2,8131,23,,1,1
AEHR228,1,0,1967,S. SINGH,Haryana,KALANAUR,INC,,9972,M,2,1,0,FALSE,FALSE,28.2,3593,10.16,,,1
AEHR23,1,0,1967,B. DAYAL,Haryana,YAMUNANAGAR,INC,,22043,M,1,1,1,FALSE,FALSE,52.43,6624,15.76,,1,1
AEHR230,1,0,1967,R. SARUP,Haryana,KALANAUR,RPI,,902,M,4,1,0,FALSE,FALSE,2.55,0,0,,,1
AEHR231,1,0,1967,P. S. DAULATA,Haryana,BERI,INC,,22577,M,1,1,1,FALSE,FALSE,52.5,13953,32.45,,1,1
AEHR232,1,0,1967,N. KUMAR,Haryana,BERI,IND,,8624,M,2,1,0,FALSE,FALSE,20.05,1255,2.92,,,1
AEHR237,1,0,1967,P. CHAND,Haryana,SALHAWAS,INC,,14219,M,1,1,1,FALSE,FALSE,37.6,941,2.49,,1,1
AEHR239,1,0,1967,A. SINGH,Haryana,SALHAWAS,IND,,13278,M,2,1,0,FALSE,FALSE,35.11,8115,21.46,,,1
AEHR24,1,0,1967,R. LAL,Haryana,YAMUNANAGAR,BJS,,15419,M,2,1,0,FALSE,FALSE,36.68,11298,26.88,,,1
AEHR242,1,0,1967,SUMERA,Haryana,SALHAWAS,RPI,,796,M,5,1,0,FALSE,FALSE,2.1,118,0.31,,,1
AEHR243,1,0,1967,D..SINGH,Haryana,SALHAWAS,BJS,,678,M,6,1,0,FALSE,FALSE,1.79,57,0.15,,,1
AEHR247,1,0,1967,M. SINGH,Haryana,JHAJJAR,IND,,15024,M,1,1,1,FALSE,FALSE,31.66,3745,7.89,,1,1
AEHR248,1,0,1967,C. SINGH,Haryana,JHAJJAR,IND,,11279,M,2,1,0,FALSE,FALSE,23.77,377,0.79,,,1
