pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
8754,4,0,2019,VASUDEV PRA VERMA,Jharkhand,BAGODAR,INC,,2049,M,8,1,0,FALSE,FALSE,0.96,494,0.23,56,,1
8756,4,0,2019,ANUP KUMAR PANDEY,Jharkhand,BAGODAR,AJSUP,,5188,M,4,1,0,FALSE,FALSE,2.44,1235,0.58,30,,1
8762,4,0,2019,RAJANI KAUR,Jharkhand,BAGODAR,JVM,,8749,F,3,1,0,FALSE,FALSE,4.11,3561,1.67,42,,1
8774,4,0,2019,SAMIR Kr. MOHANTY,Jharkhand,BAHARAGORA,JMM,,106017,M,1,1,1,FALSE,FALSE,61.99,60565,35.41,49,1,1
8778,4,0,2019,HARMOHAN  MAHATO,Jharkhand,BAHARAGORA,JVM,,805,M,7,1,0,FALSE,FALSE,0.47,4,0,45,,1
8781,4,0,2019,HOPNA TUDU,Jharkhand,BARHAIT,JVM,,2622,M,3,1,0,FALSE,FALSE,1.9,49,0.04,47,,1
8790,4,0,2019,GAMLIYEL HEMBROM,Jharkhand,BARHAIT,AJSUP,,2573,M,4,1,0,FALSE,FALSE,1.87,7,0.01,28,,1
8799,4,0,2019,ARBIND KUMAR,Jharkhand,BARHI,JVM,,4282,M,3,1,0,FALSE,FALSE,2.37,596,0.33,27,,1
8806,4,0,2019,DURGA CHARAN PRASAD,Jharkhand,BARKAGAON,JVM,,3347,M,4,1,0,FALSE,FALSE,1.49,142,0.06,45,,1
8810,4,0,2019,SARYU MUNDA,Jharkhand,BARKAGAON,CPI(ML)(L),,1101,M,11,1,0,FALSE,FALSE,0.49,141,0.06,40,,1
8828,4,0,2019,AMBA PRASAD,Jharkhand,BARKAGAON,INC,,98862,F,1,1,1,FALSE,FALSE,44.13,31514,14.07,31,1,1
8829,4,0,2019,MOHAMMAD KHALID KHALIL,Jharkhand,BARKATHA,RJD,,4867,M,7,1,0,FALSE,FALSE,2.3,1190,0.56,41,,1
8830,4,0,2019,MD IBRAHIM,Jharkhand,BARKATHA,CPI(ML)(L),,2210,M,12,1,0,FALSE,FALSE,1.04,255,0.12,35,,1
8842,4,0,2019,AMIT KUMAR YADAV S/O-CHITRANJAN YADAV,Jharkhand,BARKATHA,IND,,72572,M,1,1,1,FALSE,FALSE,34.29,24812,11.72,35,1,1
8845,4,0,2019,PRADEEP KUMAR MEHTA,Jharkhand,BARKATHA,AJSUP,,3677,M,8,1,0,FALSE,FALSE,1.74,583,0.28,46,,1
8854,4,0,2019,Ram Kinkar Pandey,Jharkhand,BERMO,JVM,,1997,M,5,1,0,FALSE,FALSE,1.05,191,0.1,45,,1
8872,4,0,2019,Barun Bihari,Jharkhand,BHAWANATHPUR,CPI(ML)(L),,1086,M,17,1,0,FALSE,FALSE,0.43,55,0.02,31,,1
8875,4,0,2019,Vijay Kumar Keshri,Jharkhand,BHAWANATHPUR,JVM,,3876,M,5,1,0,FALSE,FALSE,1.52,251,0.1,50,,1
8905,4,0,2019,ANJU SINGH,Jharkhand,BISHRAMPUR,JVM,,24851,F,5,1,0,FALSE,FALSE,13.2,13293,7.06,40,,1
8918,4,0,2019,MAHATMA ORAON,Jharkhand,BISHUNPUR,JVM,,5005,M,3,1,0,FALSE,FALSE,3.04,406,0.25,37,,1
8929,4,0,2019,Shweta Singh,Jharkhand,BOKARO,INC,,99020,F,2,1,0,FALSE,FALSE,36.51,84503,31.16,35,,1
8932,4,0,2019,PRAKASH KUMAR,Jharkhand,BOKARO,JVM,,13872,M,4,1,0,FALSE,FALSE,5.11,8471,3.12,37,,1
8941,4,0,2019,Rajendra Mahato,Jharkhand,BOKARO,AJSUP,,14517,M,3,1,0,FALSE,FALSE,5.35,645,0.24,62,,1
8960,4,0,2019,J. B. TUBID,Jharkhand,CHAIBASA,BJP,,43326,M,2,1,0,FALSE,FALSE,31.41,36518,26.47,61,,1
8972,4,0,2019,CHANDMANI BALMUCHU,Jharkhand,CHAIBASA,JVM,,6808,F,3,1,0,FALSE,FALSE,4.94,2298,1.67,37,,1
8991,4,0,2019,BIJAY KUMAR RAJWAR,Jharkhand,CHANDANKYARI,JMM,,36400,M,3,1,0,FALSE,FALSE,20.44,32504,18.25,31,,1
8993,4,0,2019,ROHIT KUMAR DAS,Jharkhand,CHANDANKYARI,JVM,,1524,M,7,1,0,FALSE,FALSE,0.86,133,0.07,25,,1
9006,4,0,2019,TILESHWAR RAM,Jharkhand,CHATRA,JVM,,6703,M,4,1,0,FALSE,FALSE,3.06,346,0.16,41,,1
9013,4,0,2019,VIJAY KUMAR,Jharkhand,CHATTARPUR,RJD,,37335,M,2,1,0,FALSE,FALSE,22.93,21317,13.09,44,,1
9018,4,0,2019,PUSHPA DEVI,Jharkhand,CHATTARPUR,BJP,,64127,F,1,1,1,FALSE,FALSE,39.39,26792,16.46,46,1,1
9020,4,0,2019,DHARMENDRA PRAKASH BADAL,Jharkhand,CHATTARPUR,JVM,,15522,M,4,1,0,FALSE,FALSE,9.53,6728,4.13,33,,1
9022,4,0,2019,RAHUL AGRAWAL,Jharkhand,DALTONGANJ,JVM,,12061,M,3,1,0,FALSE,FALSE,5.53,7211,3.31,40,,1
9027,4,0,2019,VIJETA VERMA,Jharkhand,DALTONGANJ,NCP,,1208,F,8,1,0,FALSE,FALSE,0.55,243,0.11,31,,1
9047,4,0,2019,SHAMBHU TURI,Jharkhand,DEOGHAR,CPI(ML)(L),,2493,M,11,1,0,FALSE,FALSE,1.07,937,0.4,27,,1
9062,4,0,2019,ANJULA MURMU,Jharkhand,DUMKA,JVM,,3156,F,3,1,0,FALSE,FALSE,1.9,747,0.45,39,,1
9080,4,0,2019,PRADEEP KUMAR SAHU,Jharkhand,DUMRI,BJP,,36013,M,3,1,0,FALSE,FALSE,18.93,11881,6.24,39,,1
9086,4,0,2019,YASHODA DEVI,Jharkhand,DUMRI,AJSUP,,36840,F,2,1,0,FALSE,FALSE,19.36,827,0.43,45,,1
9089,4,0,2019,MD. SAMSUDDIN,Jharkhand,DUMRI,JVM,,1263,M,12,1,0,FALSE,FALSE,0.66,7,0,25,,1
9090,4,0,2019,DILIP KUMAR VERMA,Jharkhand,GANDEY,JVM,,8952,M,6,1,0,FALSE,FALSE,4.78,1544,0.82,47,,1
9100,4,0,2019,ARJUN BAITHA,Jharkhand,GANDEY,AJSUP,,15361,M,3,1,0,FALSE,FALSE,8.2,5461,2.91,51,,1
9104,4,0,2019,SURAJ PRASAD GUPTA,Jharkhand,GARHWA,JVM,,5852,M,6,1,0,FALSE,FALSE,2.44,513,0.21,40,,1
9118,4,0,2019,Lakhan Chandra Mardi,Jharkhand,GHATSHILA,BJP,,56807,M,2,1,0,FALSE,FALSE,33.41,24897,14.64,42,,1
9126,4,0,2019,Ramdas Soren,Jharkhand,GHATSHILA,JMM,,63531,M,1,1,1,FALSE,FALSE,37.36,6724,3.95,56,1,1
9129,4,0,2019,Dr Sunita Debdoot Soren,Jharkhand,GHATSHILA,JVM,,1738,F,7,1,0,FALSE,FALSE,1.02,32,0.02,43,,1
9130,4,0,2019,Pradeep Kumar Balmuchu,Jharkhand,GHATSHILA,AJSUP,,31910,M,3,1,0,FALSE,FALSE,18.77,29617,17.42,62,,1
9135,4,0,2019,CHUNNU KANT,Jharkhand,GIRIDIH,JVM,,6903,M,3,1,0,FALSE,FALSE,4.11,4130,2.46,55,,1
9148,4,0,2019,Phool Kumari,Jharkhand,GODDA,JVM,,1728,F,5,1,0,FALSE,FALSE,0.9,20,0.01,41,,1
9153,4,0,2019,Amit Kumar Mandal,Jharkhand,GODDA,BJP,,87578,M,1,1,1,FALSE,FALSE,45.74,4512,2.36,34,1,1
9155,4,0,2019,Babita Devi,Jharkhand,GODDA,NCP,,899,F,10,1,0,FALSE,FALSE,0.47,4,0,43,,1
9156,4,0,2019,Awadhesh Kumar Singh,Jharkhand,GODDA,AJSUP,,1596,M,7,1,0,FALSE,FALSE,0.83,577,0.3,35,,1
9161,4,0,2019,Babita Devi,Jharkhand,GOMIYA,JMM,,60922,F,2,1,0,FALSE,FALSE,32.13,34819,18.37,41,,1
9162,4,0,2019,Lakshman Kumar Nayak,Jharkhand,GOMIYA,BJP,,18011,M,4,1,0,FALSE,FALSE,9.5,16115,8.5,42,,1
9169,4,0,2019,Lambodar Mahto,Jharkhand,GOMIYA,AJSUP,,71859,M,1,1,1,FALSE,FALSE,37.9,10937,5.77,53,1,1
9171,4,0,2019,Gautam Tiwari,Jharkhand,GOMIYA,JVM,,1391,M,9,1,0,FALSE,FALSE,0.73,313,0.17,39,,1
9176,4,0,2019,MISHIR KUJUR,Jharkhand,GUMLA,BJP,,59749,M,2,1,0,FALSE,FALSE,42.5,56483,40.17,34,,1
9185,4,0,2019,RAJNEEL TIGGA,Jharkhand,GUMLA,JVM,,2510,M,4,1,0,FALSE,FALSE,1.79,1009,0.72,37,,1
9189,4,0,2019,AJAY NATH SHAHDEO,Jharkhand,HATIA,INC,,99167,M,2,1,0,FALSE,FALSE,39.38,84952,33.74,49,,1
9204,4,0,2019,SHOBHA YADAV,Jharkhand,HATIA,JVM,,3470,F,5,1,0,FALSE,FALSE,1.38,1963,0.78,45,,1
9207,4,0,2019,BHARAT KANSHI,Jharkhand,HATIA,AJSUP,,9357,M,4,1,0,FALSE,FALSE,3.72,5887,2.34,34,,1
9210,4,0,2019,Dr. Ramchandra Prasad,Jharkhand,HAZARIBAGH,INC,,54396,M,2,1,0,FALSE,FALSE,25.16,22511,10.41,58,,1
9211,4,0,2019,Munna Singh,Jharkhand,HAZARIBAGH,JVM,,31885,M,3,1,0,FALSE,FALSE,14.75,22966,10.62,44,,1
