pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
6135,3,0,1972,N A SHANKERRAO,Maharashtra,NANDED,CPI,,5603,M,3,1,0,FALSE,FALSE,10,1637,2.92,,,1
AEMH101856,3,0,1972,SITARAM RAMCHANDRA JAGTAP,Maharashtra,SANTACRUZ,CPI,,6971,M,4,1,0,FALSE,FALSE,8.97,5875,7.56,,,1
AEMH102027,3,0,1972,LEELADHAR BALAJI DAKE,Maharashtra,KURLA,SHS,,11842,M,2,1,0,FALSE,FALSE,13.6,319,0.37,,,1
AEMH105870,3,0,1972,VITHAL BUDHAJI SASANE,Maharashtra,ULHASNAGAR,RPI,,2324,M,5,1,0,FALSE,FALSE,3.71,1799,2.87,,,1
AEMH105915,3,0,1972,NARAYAN GIRMAJI PATIL,Maharashtra,KANNAD,INC,,25765,M,1,1,1,FALSE,FALSE,55.65,5229,11.29,,1,1
AEMH106160,1,0,1962,SADASHIV NARAYAN BHALERAO,Maharashtra,JALGAON,CPI,,8043,M,2,2,0,FALSE,FALSE,22.69,1817,5.13,,,2
AEMH106160,3,0,1972,BHALERAO SADASHIV NARAYAN,Maharashtra,JALGAON,CPI,CPI,20199,M,2,2,0,FALSE,FALSE,39.17,13055,25.32,,,2
AEMH106685,3,0,1972,MUSALE DEORAO JANARDHAN,Maharashtra,RAJURA,IND,,19735,M,2,1,0,FALSE,FALSE,37.22,13522,25.5,,,1
AEMH107209,1,0,1962,SAMPATRAO MARUTI PATIL,Maharashtra,KARMALA,PWP,,11296,M,3,2,0,FALSE,FALSE,26.79,10273,24.37,,,2
AEMH107209,3,0,1972,PATIL SAMPATRAO MARUTI,Maharashtra,MADHA,PWP,PWP,16434,M,2,2,0,FALSE,FALSE,26.95,4385,7.19,,,2
AEMH107481,3,0,1972,BHOSALE BAPURAO SHIWARAM,Maharashtra,MAN,IND,,5528,M,2,1,0,FALSE,FALSE,13.12,2131,5.06,,,1
AEMH107701,1,0,1962,ABDUL RAHIM A. GAFOOR ANTULAY,Maharashtra,SHRIWARDHAN,INC,,16684,M,1,2,2,FALSE,FALSE,57.49,9209,31.73,,2,2
